Estado,Nombre
AGUASCALIENTES,jitomate
BAJA CALIFORNIA,tomate
BAJA CALIFORNIA SUR,tomate
CAMPECHE,tomate
CHIAPAS,tomate
CHIHUAHUA,tomate
CIUDAD DE MÉXICO,jitomate
COAHUILA DE ZARAGOZA,tomate
COLIMA,jitomate
DURANGO,tomate
GUANAJUATO,jitomate
GUERRERO,jitomate
HIDALGO,jitomate
JALISCO,ambos
MÉXICO,jitomate
MICHOACÁN DE OCAMPO,jitomate
MORELOS,jitomate
NAYARIT,tomate
NUEVO LEÓN,tomate
OAXACA,jitomate
PUEBLA,jitomate
QUERÉTARO,jitomate
QUINTANA ROO,tomate
SAN LUIS POTOSÍ,tomate
SINALOA,tomate
SONORA,tomate
TABASCO,tomate
TAMAULIPAS,tomate
TLAXCALA,jitomate
VERACRUZ DE IGNACIO DE LA LLAVE,tomate
YUCATÁN,tomate
ZACATECAS,jitomate